With filtering out non-convergence results
(10, 'hilbert')
126:  {'name': 'bcgsl with gasm', 'time': 0.00035500526428222656, 'residual_norm': 0.001518790398442585, 'num_of_iterations': 4}
127:  {'name': 'bcgsl with ilu', 'time': 0.00020837783813476562, 'residual_norm': 0.001518790398442585, 'num_of_iterations': 4}
128:  {'name': 'bcgsl with telescope', 'time': 0.00037097930908203125, 'residual_norm': 0.001518790398442585, 'num_of_iterations': 4}
129:  {'name': 'pipebcgs with cholesky', 'time': 0.002698659896850586, 'residual_norm': 0.0015232552182342651, 'num_of_iterations': 202}
130:  {'name': 'bicg with icc', 'time': 8.797645568847656e-05, 'residual_norm': 0.001525148130878033, 'num_of_iterations': 1}
131:  {'name': 'fgmres with none', 'time': 0.005321979522705078, 'residual_norm': 0.0015628444742014024, 'num_of_iterations': 805}
132:  {'name': 'richardson with asm', 'time': 0.0009748935699462891, 'residual_norm': 0.0015661663427884713, 'num_of_iterations': 70}
133:  {'name': 'richardson with bjacobi', 'time': 0.00058746337890625, 'residual_norm': 0.0015661663427884713, 'num_of_iterations': 70}
134:  {'name': 'richardson with gasm', 'time': 0.0007717609405517578, 'residual_norm': 0.0015661663427884713, 'num_of_iterations': 70}
135:  {'name': 'richardson with ilu', 'time': 0.00023293495178222656, 'residual_norm': 0.0015661663427884713, 'num_of_iterations': 70}
136:  {'name': 'cr with lu', 'time': 6.985664367675781e-05, 'residual_norm': 0.0015851719028156324, 'num_of_iterations': 1}
137:  {'name': 'cr with redundant', 'time': 9.417533874511719e-05, 'residual_norm': 0.0015851719028156324, 'num_of_iterations': 1}
138:  {'name': 'richardson with cholesky', 'time': 6.604194641113281e-05, 'residual_norm': 0.001599671957729229, 'num_of_iterations': 6}
139:  {'name': 'groppcg with lu', 'time': 7.891654968261719e-05, 'residual_norm': 0.0016017620954577375, 'num_of_iterations': 2}
140:  {'name': 'groppcg with redundant', 'time': 0.00012421607971191406, 'residual_norm': 0.0016017620954577375, 'num_of_iterations': 2}
141:  {'name': 'pipecg with lu', 'time': 7.033348083496094e-05, 'residual_norm': 0.0016104383399153158, 'num_of_iterations': 1}
142:  {'name': 'pipecg with redundant', 'time': 8.20159912109375e-05, 'residual_norm': 0.0016104383399153158, 'num_of_iterations': 1}
143:  {'name': 'pipecgrr with lu', 'time': 7.82012939453125e-05, 'residual_norm': 0.0016104383399153158, 'num_of_iterations': 1}
144:  {'name': 'pipecgrr with redundant', 'time': 8.702278137207031e-05, 'residual_norm': 0.0016104383399153158, 'num_of_iterations': 1}
145:  {'name': 'gmres with lu', 'time': 9.393692016601562e-05, 'residual_norm': 0.0016240973918080375, 'num_of_iterations': 1}
146:  {'name': 'gmres with redundant', 'time': 0.00012087821960449219, 'residual_norm': 0.0016240973918080375, 'num_of_iterations': 1}
147:  {'name': 'lgmres with lu', 'time': 7.343292236328125e-05, 'residual_norm': 0.0016240973918080375, 'num_of_iterations': 1}
148:  {'name': 'lgmres with redundant', 'time': 9.036064147949219e-05, 'residual_norm': 0.0016240973918080375, 'num_of_iterations': 1}
149:  {'name': 'pgmres with lu', 'time': 0.00014495849609375, 'residual_norm': 0.0016240973918080375, 'num_of_iterations': 1}
150:  {'name': 'pgmres with redundant', 'time': 0.0001678466796875, 'residual_norm': 0.0016240973918080375, 'num_of_iterations': 1}
151:  {'name': 'cgs with lu', 'time': 6.556510925292969e-05, 'residual_norm': 0.0016420549185968034, 'num_of_iterations': 2}
152:  {'name': 'cgs with redundant', 'time': 8.344650268554688e-05, 'residual_norm': 0.0016420549185968034, 'num_of_iterations': 2}
153:  {'name': 'pipebcgs with icc', 'time': 0.0029807090759277344, 'residual_norm': 0.0016841309090626668, 'num_of_iterations': 202}
154:  {'name': 'lgmres with jacobi', 'time': 0.02928757667541504, 'residual_norm': 0.0017024098168086296, 'num_of_iterations': 3762}
155:  {'name': 'lgmres with pbjacobi', 'time': 0.02331089973449707, 'residual_norm': 0.0017024098168086296, 'num_of_iterations': 3762}
156:  {'name': 'minres with asm', 'time': 0.00022482872009277344, 'residual_norm': 0.001712482413296468, 'num_of_iterations': 2}
157:  {'name': 'minres with bjacobi', 'time': 0.00018286705017089844, 'residual_norm': 0.001712482413296468, 'num_of_iterations': 2}
158:  {'name': 'minres with gasm', 'time': 0.0002033710479736328, 'residual_norm': 0.001712482413296468, 'num_of_iterations': 2}
159:  {'name': 'minres with ilu', 'time': 6.532669067382812e-05, 'residual_norm': 0.001712482413296468, 'num_of_iterations': 2}
160:  {'name': 'minres with telescope', 'time': 0.00020551681518554688, 'residual_norm': 0.001712482413296468, 'num_of_iterations': 2}
161:  {'name': 'fbcgs with ksp', 'time': 0.0001595020294189453, 'residual_norm': 0.0017247821489922732, 'num_of_iterations': 1}
162:  {'name': 'fbcgs with redistribute', 'time': 0.00014472007751464844, 'residual_norm': 0.0017247821489922732, 'num_of_iterations': 1}
163:  {'name': 'cgs with icc', 'time': 8.726119995117188e-05, 'residual_norm': 0.0017321166567157477, 'num_of_iterations': 2}
164:  {'name': 'chebyshev with lu', 'time': 0.00016546249389648438, 'residual_norm': 0.0017344001975047063, 'num_of_iterations': 58}
165:  {'name': 'chebyshev with redundant', 'time': 0.00027298927307128906, 'residual_norm': 0.0017344001975047063, 'num_of_iterations': 58}
166:  {'name': 'gmres with asm', 'time': 0.0002772808074951172, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
167:  {'name': 'gmres with bjacobi', 'time': 0.0002048015594482422, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
168:  {'name': 'gmres with gasm', 'time': 0.0002536773681640625, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
169:  {'name': 'gmres with ilu', 'time': 8.392333984375e-05, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
170:  {'name': 'gmres with telescope', 'time': 0.000263214111328125, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
171:  {'name': 'lgmres with asm', 'time': 0.0002739429473876953, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
172:  {'name': 'lgmres with bjacobi', 'time': 0.00024390220642089844, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
173:  {'name': 'lgmres with gasm', 'time': 0.0002655982971191406, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
174:  {'name': 'lgmres with ilu', 'time': 7.43865966796875e-05, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
175:  {'name': 'lgmres with telescope', 'time': 0.0002799034118652344, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
176:  {'name': 'none with ksp', 'time': 8.511543273925781e-05, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
177:  {'name': 'none with redistribute', 'time': 0.00010895729064941406, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
178:  {'name': 'pgmres with asm', 'time': 0.000370025634765625, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
179:  {'name': 'pgmres with bjacobi', 'time': 0.0003323554992675781, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
180:  {'name': 'pgmres with gasm', 'time': 0.000339508056640625, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
181:  {'name': 'pgmres with ilu', 'time': 0.0001323223114013672, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
182:  {'name': 'pgmres with telescope', 'time': 0.000377655029296875, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
183:  {'name': 'preonly with ksp', 'time': 8.153915405273438e-05, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
184:  {'name': 'preonly with redistribute', 'time': 0.00010919570922851562, 'residual_norm': 0.0017564282125229367, 'num_of_iterations': 1}
185:  {'name': 'fgmres with lu', 'time': 8.511543273925781e-05, 'residual_norm': 0.0017614183631389693, 'num_of_iterations': 2}
186:  {'name': 'fgmres with redundant', 'time': 9.179115295410156e-05, 'residual_norm': 0.0017614183631389693, 'num_of_iterations': 2}
187:  {'name': 'pipecg with icc', 'time': 8.58306884765625e-05, 'residual_norm': 0.0017624084654595503, 'num_of_iterations': 1}
188:  {'name': 'pipecgrr with icc', 'time': 9.894371032714844e-05, 'residual_norm': 0.0017624084654595503, 'num_of_iterations': 1}
189:  {'name': 'pipecg2 with cholesky', 'time': 6.67572021484375e-05, 'residual_norm': 0.0017780502681571547, 'num_of_iterations': 2}
190:  {'name': 'cg with ksp', 'time': 0.00011920928955078125, 'residual_norm': 0.0017789854114923236, 'num_of_iterations': 2}
191:  {'name': 'cg with redistribute', 'time': 0.00016999244689941406, 'residual_norm': 0.0017789854114923236, 'num_of_iterations': 2}
192:  {'name': 'symmlq with cholesky', 'time': 5.3882598876953125e-05, 'residual_norm': 0.0017902063541349307, 'num_of_iterations': 1}
193:  {'name': 'lcd with asm', 'time': 0.0002429485321044922, 'residual_norm': 0.001843796177965065, 'num_of_iterations': 2}
194:  {'name': 'lcd with bjacobi', 'time': 0.00020694732666015625, 'residual_norm': 0.001843796177965065, 'num_of_iterations': 2}
195:  {'name': 'lcd with gasm', 'time': 0.0002205371856689453, 'residual_norm': 0.001843796177965065, 'num_of_iterations': 2}
196:  {'name': 'lcd with ilu', 'time': 6.031990051269531e-05, 'residual_norm': 0.001843796177965065, 'num_of_iterations': 2}
197:  {'name': 'lcd with telescope', 'time': 0.0002734661102294922, 'residual_norm': 0.001843796177965065, 'num_of_iterations': 2}
198:  {'name': 'fbcgsr with lu', 'time': 4.3392181396484375e-05, 'residual_norm': 0.001859619594350987, 'num_of_iterations': 1}
199:  {'name': 'fbcgsr with redundant', 'time': 5.340576171875e-05, 'residual_norm': 0.001859619594350987, 'num_of_iterations': 1}
200:  {'name': 'pipebcgs with asm', 'time': 0.0063130855560302734, 'residual_norm': 0.0018618669194777823, 'num_of_iterations': 202}
201:  {'name': 'pipebcgs with bjacobi', 'time': 0.004067897796630859, 'residual_norm': 0.0018618669194777823, 'num_of_iterations': 202}
202:  {'name': 'pipebcgs with gasm', 'time': 0.0051631927490234375, 'residual_norm': 0.0018618669194777823, 'num_of_iterations': 202}
203:  {'name': 'pipebcgs with ilu', 'time': 0.0030651092529296875, 'residual_norm': 0.0018618669194777823, 'num_of_iterations': 202}
204:  {'name': 'pipebcgs with telescope', 'time': 0.0040836334228515625, 'residual_norm': 0.0018618669194777823, 'num_of_iterations': 202}
205:  {'name': 'gcr with ksp', 'time': 0.000156402587890625, 'residual_norm': 0.001881339239289852, 'num_of_iterations': 2}
206:  {'name': 'gcr with redistribute', 'time': 0.00019478797912597656, 'residual_norm': 0.001881339239289852, 'num_of_iterations': 2}
207:  {'name': 'symmlq with lu', 'time': 5.698204040527344e-05, 'residual_norm': 0.0019073504542170014, 'num_of_iterations': 1}
208:  {'name': 'symmlq with redundant', 'time': 6.222724914550781e-05, 'residual_norm': 0.0019073504542170014, 'num_of_iterations': 1}
209:  {'name': 'fbcgs with lu', 'time': 5.53131103515625e-05, 'residual_norm': 0.0019326799758916848, 'num_of_iterations': 1}
210:  {'name': 'fbcgs with redundant', 'time': 6.031990051269531e-05, 'residual_norm': 0.0019326799758916848, 'num_of_iterations': 1}
